,Sheep,Image,MinDist,IFDist
234,12,192,120.69248350292285,208.6593746361727
235,12,70,87.37920680281282,239.20250070607904
236,12,180,191.34020008299572,218.7097168409753
237,12,68,122.19774176673442,174.17379423870622
238,12,81,164.23627357019964,212.90853409313246
239,12,103,173.2060688057686,241.59442590962922
240,13,250,94.22725360603118,166.79446348921664
241,13,257,97.22360733393725,159.5832839752841
242,13,249,109.96085213115344,222.35601856783092
243,13,224,104.99590550996791,163.87528996655135
244,13,217,121.2717517209939,193.31032423197112
245,13,240,21.690898942598785,172.0789208673868
246,13,256,55.27903076302894,151.81410987358174
247,13,233,85.57967411128509,189.05966719911223
248,13,232,83.51299239369487,170.5122828503519
249,14,113,175.98094839292858,256.67592567607625
250,14,95,161.5268211125024,226.7420488179362
251,14,53,0.6500798657457608,159.87369922875945
252,14,96,49.55416444799022,211.2411528260958
253,14,141,137.23895132825547,207.46620026210974
254,14,112,98.73979498227212,180.79162106283115
255,14,157,121.00137248427778,182.0791441003317
256,14,32,96.4690629116164,170.68608370064857
257,14,51,37.76674933273647,163.0651160703676
258,14,31,191.21378548714546,244.70113832678308
259,14,144,31.72398582556991,183.15141324138986
260,14,19,167.73610012336377,211.3799385354555
261,14,30,90.78479547576269,179.514286643277
262,14,4,113.31839258311602,206.18478042494402
263,14,143,153.45060897846435,186.80865670460483
264,14,155,39.08509250447235,197.8430020746809
265,14,98,106.17921231252218,190.94274753238116
266,14,52,94.87296519260506,169.51257763696378
267,14,129,156.94321930066158,228.458442884527
268,14,100,109.4220407557514,179.94421071689726
269,14,125,108.77165498929253,187.8770719348668
270,14,142,138.14124528259015,207.6315984455748
271,14,140,48.84911842593891,186.42489370247358
272,14,18,107.70802894774305,210.53978034680577
273,14,67,65.46066716017867,156.3858132809448
274,14,68,93.51811283739875,188.10194286317406
275,14,99,77.9999351841402,178.86468663997834
276,14,114,75.64624768894679,169.044900947089
277,14,3,105.66714170533356,181.17987794713983
278,14,126,99.29819305743035,194.27440191176487
279,14,5,111.3948174275703,225.076566548304
280,14,2,126.70527943113852,204.7960877104688
281,14,44,109.06076350828744,191.1274581567845
282,14,54,105.22972514336722,179.76532979622502
283,14,65,114.7116306326293,205.05173029255928
284,14,80,125.031412303779,197.73451192419003
285,14,82,48.248928176266034,164.27699584251243
286,14,1,62.32515537850249,182.3475492022883
287,14,17,148.64737504200968,200.3595814840775
288,14,81,62.47923321539592,180.53129798415927
289,14,94,56.50884886458049,163.2142713616043
290,14,111,62.99522953560036,192.01101119090023
291,14,66,122.54656788643334,163.82089087938974
292,14,127,72.5972047843759,199.77538836534478
293,14,128,147.5238352815741,227.27509361650587
294,14,97,103.12677106037765,172.68458727474265
295,14,50,108.31821523837854,160.92328204538023
296,15,138,90.72535890506181,171.81297753353292
297,15,95,83.48286929393456,202.13184580453927
298,15,30,38.113529360644044,211.41566352968496
299,15,70,116.15624122207842,195.3164637227215
300,15,109,157.62378079009474,219.8095784376402
301,15,96,84.14350748433837,168.94434246981731
302,15,111,69.16259172142153,173.82175420144895
303,15,124,55.211224583634866,172.58090981664745
304,15,58,49.305886209541335,195.44930704355085
305,15,2,85.15604218672668,179.85073735460082
306,15,57,115.63724528420455,210.32205140711955
307,15,1,138.52268335109994,213.91326604973534
308,15,17,95.11427858204163,188.2887603076325
309,15,3,71.2967877943802,192.4131011374897
310,15,125,94.56797169953778,182.60520927745458
311,15,29,28.76575380776378,210.0960361052508
