,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Vessels,Vacuol,Pigment,Mean_hep_size,Std_hep_size,Min_hep_size,Max_hep_size
115,6.0,34.0,0.10269747797073243,0.6093164092256647,7.0,2058.428571428572,33.0,0.0954465823504342,0.3614007519238677,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
116,6.0,131.0,0.10617185308441876,0.5819541547886256,14.0,1245.5714285714287,31.0,0.2878672167901415,0.3204320326403797,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
117,6.0,49.0,0.11315121660742232,0.5899108034802356,10.0,614.2,33.0,0.05400880241594861,0.33798341985592983,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
118,6.0,17.0,0.08967722672872988,0.6115898584263505,7.0,643.8571428571429,31.0,0.1298065783170883,0.36350179762448825,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
119,6.0,115.0,0.12319930633260215,0.6004973027707692,5.0,1067.8,33.0,0.2351709149957723,0.3547017280240421,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
120,6.0,22.0,0.09410820674479063,0.6075423361856956,11.0,1134.7272727272727,33.0,0.07835313325623611,0.3533040034493221,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
121,6.0,144.0,0.10378437131375527,0.5913386402813903,14.0,1255.9285714285713,31.0,0.12831603006039996,0.33033212987167804,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
122,6.0,21.0,0.09609323403017098,0.6071973365958372,8.0,886.875,33.0,0.02490231192741076,0.3534235043987405,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
123,6.0,56.0,0.0930077506440258,0.6094449659848789,10.0,886.9,33.0,0.1867416293856422,0.3533191714805737,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
124,6.0,89.0,0.07813299770577455,0.6239961923539337,9.0,915.8888888888887,31.0,0.2037904800135538,0.3749551234904512,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
125,6.0,76.0,0.08866769902854578,0.6002590269456869,10.0,505.1,35.0,0.16135345723497296,0.3322024949248822,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
126,6.0,101.0,0.09933214970609698,0.6035212459052608,11.0,791.7272727272727,33.0,0.1511276730331753,0.3443265785560639,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
