,Sheep,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Vessels,Vacuol,Pigment,Mean_hep_size,Std_hep_size,Min_hep_size,Max_hep_size,Unnamed: 0,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,CurrTag,DeathDate,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg
55,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,69.0,125.0,0.10979997719538236,0.5810832946457611,12.0,2564.6666666666665,37.0,0.2323544213936389,0.31987580536466725,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
56,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,70.0,12.0,0.12594022631802448,0.5854301831312589,12.0,1994.166666666667,35.0,0.13071234942449114,0.3506929818601807,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
57,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,71.0,46.0,0.1060058970481516,0.5966000481916772,15.0,2540.2,35.0,0.10894412441322067,0.3561704586687452,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
58,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,72.0,128.0,0.1212797146280636,0.5475139389585013,10.0,2156.7,37.0,0.2621861980069528,0.2900027424891185,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
59,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,73.0,126.0,0.10402750259367499,0.5528710081293849,15.0,1406.0,37.0,0.20185955877076747,0.278302627260143,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
60,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,74.0,99.0,0.09856345661553292,0.5844337485733516,12.0,2128.9166666666665,37.0,0.25663626967590203,0.3250084298867585,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
61,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,75.0,111.0,0.10410469352903882,0.5879337245043559,12.0,1960.333333333333,37.0,0.21628972507366304,0.3310576659240448,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
62,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,76.0,71.0,0.1007841464604763,0.5902261520258276,18.0,2296.222222222222,33.0,0.2409641360523468,0.33956437442926485,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
63,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,77.0,127.0,0.07893948166788622,0.5854547190184289,14.0,2521.5,35.0,0.1819115767101118,0.3165465860676764,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
64,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,78.0,88.0,0.10099738401847076,0.5773202083809691,14.0,2442.214285714286,35.0,0.21650488613921387,0.3180423364705153,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
65,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,79.0,74.0,0.10014544211447436,0.5626135436969787,14.0,2116.6428571428573,35.0,0.3742237571140957,0.29327765610942563,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
