,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,CurrTag,DeathDate,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg
3016,114,80,0.06581456730019118,0.6475908050082351,5,464.6,31,0.3553979178881676,0.41851009401931377,BG138,26/02/12,Soay,8343,1,0.0,,,
3017,114,92,0.080403150721993,0.6324228929679772,12,1058.5,33,0.2612535566668515,0.3973231722225097,BG138,26/02/12,Soay,8343,1,0.0,,,
3018,114,110,0.0997423103719638,0.6297233114997982,1,818.0,31,0.21050760977663024,0.4098132337195836,BG138,26/02/12,Soay,8343,1,0.0,,,
3019,114,64,0.07101433950156713,0.6358587296712233,8,488.125,33,0.1143209101194021,0.394534744244096,BG138,26/02/12,Soay,8343,1,0.0,,,
3020,114,123,0.06345566072093732,0.6504106436355489,4,327.0,33,0.35467619182592963,0.4260418506258055,BG138,26/02/12,Soay,8343,1,0.0,,,
3021,114,49,0.06650630358632896,0.6386748371373248,6,653.5,35,0.3059249841556013,0.3886983076703236,BG138,26/02/12,Soay,8343,1,0.0,,,
3022,114,32,0.0891475793838663,0.6380524528026587,5,402.2,33,0.21412787634129332,0.4226105852706703,BG138,26/02/12,Soay,8343,1,0.0,,,
3023,114,76,0.08591424519488745,0.6376591315665712,2,946.0,31,0.19282585237175467,0.41365970263422097,BG138,26/02/12,Soay,8343,1,0.0,,,
3024,114,48,0.08530886206128775,0.6370459729625308,10,554.8,31,0.09913453396192028,0.4151674737436674,BG138,26/02/12,Soay,8343,1,0.0,,,
3025,114,46,0.09103458408315117,0.6357801897999127,4,721.25,33,0.16613858863226194,0.4217652810003381,BG138,26/02/12,Soay,8343,1,0.0,,,
3026,114,17,0.067303562718618,0.6396286455496678,11,965.5454545454544,33,0.2845171966814456,0.3898515511421658,BG138,26/02/12,Soay,8343,1,0.0,,,
3027,114,95,0.07019331935510878,0.6373378510073369,8,557.75,33,0.2703499833327222,0.3941796117707835,BG138,26/02/12,Soay,8343,1,0.0,,,
3028,114,5,0.06855935064015711,0.6386183553699868,17,780.2941176470587,33,0.31168920978889325,0.3970371980867297,BG138,26/02/12,Soay,8343,1,0.0,,,
3029,114,20,0.060771311619883424,0.6466589319646817,11,596.5454545454545,31,0.2870973218635889,0.4088987710993162,BG138,26/02/12,Soay,8343,1,0.0,,,
3030,114,108,0.07709166976341325,0.6378053982263752,6,459.66666666666674,33,0.1968533646432163,0.4036190055418423,BG138,26/02/12,Soay,8343,1,0.0,,,
3031,114,3,0.07989197746540641,0.6319562888017943,18,774.4444444444445,31,0.22159393664240187,0.3962909320474473,BG138,26/02/12,Soay,8343,1,0.0,,,
3032,114,2,0.10372766348333792,0.6120683891004429,17,1029.0588235294117,31,0.1785517816720916,0.3694412028284578,BG138,26/02/12,Soay,8343,1,0.0,,,
3033,114,93,0.07977771010245452,0.6395205709571525,3,854.3333333333335,33,0.1926421744096902,0.4045841298617285,BG138,26/02/12,Soay,8343,1,0.0,,,
3034,114,94,0.06911275959677321,0.6407972248076442,10,965.8,33,0.2446368917958697,0.3986985939633095,BG138,26/02/12,Soay,8343,1,0.0,,,
3035,114,139,0.09118465450572116,0.6339727720807954,1,325.0,33,0.16092480386085475,0.40621412755364383,BG138,26/02/12,Soay,8343,1,0.0,,,
3036,114,140,0.07964603152919471,0.6331546089994522,3,462.33333333333326,33,0.17844251082950072,0.3902439955305813,BG138,26/02/12,Soay,8343,1,0.0,,,
3037,114,33,0.08207303467295635,0.6435950670876058,6,544.6666666666666,33,0.21769216093101512,0.4388070342205323,BG138,26/02/12,Soay,8343,1,0.0,,,
3038,114,106,0.08803266146203624,0.6305413041530803,12,1374.833333333333,31,0.0818345372397926,0.3949121174733521,BG138,26/02/12,Soay,8343,1,0.0,,,
3039,114,50,0.07395251299937916,0.6389092229456118,2,649.0,35,0.2299933506575328,0.3944200695320242,BG138,26/02/12,Soay,8343,1,0.0,,,
3040,114,19,0.05586676008290894,0.6537695573002518,15,634.0,31,0.30728673900971704,0.4185564892121697,BG138,26/02/12,Soay,8343,1,0.0,,,
3041,114,109,0.06380764253686128,0.6320395947622475,6,555.8333333333334,33,0.2965114788685693,0.3768285063393346,BG138,26/02/12,Soay,8343,1,0.0,,,
3042,114,138,0.08226748156044834,0.6221000602315692,2,399.5,31,0.07691698911067868,0.3655627977669307,BG138,26/02/12,Soay,8343,1,0.0,,,
