,Sheep,Image,Count,meanSize,stdSize
498,23,70,11,1655.5454545454545,1237.924315768233
499,23,72,6,1135.8333333333333,472.3781735949375
500,23,63,10,1837.5,1452.9543867582354
501,23,62,6,2498.8333333333335,1552.8231726618312
502,23,61,9,2038.5555555555557,1588.3319769921536
503,23,40,8,2640.75,3481.8558180229115
504,23,11,16,1542.4375,1707.3860858323023
505,23,71,7,2333.4285714285716,2318.274780776359
506,23,65,8,2589.875,1859.4186213370565
507,23,27,14,1784.2142857142858,2187.5929426319376
508,23,68,14,1666.2857142857142,1474.2415206554485
509,23,23,6,5008.5,3972.5796719512123
510,23,55,5,3373.6,2368.85901648874
511,23,25,5,2514.0,2049.7890623183644
512,23,24,15,1924.8666666666666,2068.7797648748297
513,24,5,17,724.4117647058823,388.73324572536876
514,24,6,17,556.2352941176471,226.6922063093129
515,24,3,13,690.0769230769231,346.0752389378893
516,24,1,19,709.7894736842105,529.6223658565718
517,24,10,12,611.6666666666666,381.19512355514496
518,24,4,20,634.25,592.6451615427228
519,24,2,15,942.1333333333333,915.5308017149882
520,24,9,13,1069.076923076923,1210.6021681243824
521,25,12,13,1490.076923076923,1235.6624795281314
522,25,2,17,1476.0588235294117,1615.067999682557
523,25,7,17,1498.8823529411766,1803.6282022749374
524,25,8,17,1876.1176470588234,2907.991744513586
525,25,3,20,754.15,567.736758982541
526,25,5,19,1632.5263157894738,1653.422395435762
527,25,6,12,581.4166666666666,355.2795749672205
528,26,42,10,2281.2,3088.7781338257364
529,26,23,11,3023.2727272727275,2278.0794179990176
530,26,2,9,3030.8888888888887,1932.4625305808045
531,26,1,15,2187.0,1793.0006878600652
532,26,39,11,1988.7272727272727,1372.2526331751737
533,26,16,11,1673.3636363636363,1384.6529117256835
534,26,5,10,3028.3,4151.486048392791
535,26,19,10,2527.2,3826.9065261644423
536,26,8,9,2657.777777777778,3806.2017748166327
537,26,25,13,1575.923076923077,2347.556322304224
538,26,47,10,1711.7,1256.9033415501767
539,26,9,12,1781.75,1571.2237335380769
540,26,44,12,1514.5,1849.124635244111
541,26,38,6,1960.8333333333333,1828.380286543864
542,26,43,9,2495.4444444444443,2298.5291485890666
543,26,50,11,1844.2727272727273,944.4390437916131
544,26,27,7,2325.5714285714284,2093.069916049005
545,26,33,11,3463.0,3754.126795940702
546,26,40,13,1588.6923076923076,1310.983388066753
547,26,15,13,1517.076923076923,2130.2053155483704
548,26,41,9,2042.6666666666667,2463.5126682578
549,26,22,7,3501.5714285714284,3884.0830084238073
550,26,45,7,2441.714285714286,2489.845589835741
551,26,3,11,1522.7272727272727,1309.981616172816
552,26,7,7,3875.8571428571427,2378.675707709855
553,26,34,11,2490.090909090909,1904.4332707250805
554,26,37,8,1733.25,1549.1935603726217
555,26,28,11,2661.909090909091,2777.2139556346574
556,26,12,12,1063.1666666666667,676.2443879413878
557,26,35,11,1007.0,637.2801581722124
558,26,18,12,1937.25,1562.297140164657
559,26,11,15,1443.6,1723.1997678737073
560,26,4,11,2098.181818181818,2314.9775109130233
561,26,32,12,3231.8333333333335,2425.2360996177026
562,26,21,17,1544.4705882352941,1870.665251836647
563,26,20,15,1970.0,1242.9458019828003
564,26,6,12,2824.25,2512.304822435632
565,26,29,10,1932.0,2075.4391824382615
566,26,36,15,2011.4666666666667,1604.6115154627164
567,26,48,15,1638.3333333333333,1732.0750047911386
568,26,49,14,2176.4285714285716,2197.6256900276235
569,26,52,12,2392.4166666666665,1685.900672159807
570,26,13,13,1356.6923076923076,1002.6180639947202
571,27,98,12,2189.4166666666665,2391.5324047680297
572,27,58,14,970.7142857142857,633.13961770703
573,27,124,10,2324.5,2860.9793165977276
574,27,37,7,1204.4285714285713,550.0194430700628
575,27,110,16,1749.9375,2128.5432656147136
576,27,1,9,1069.4444444444443,705.9197485253013
577,27,100,16,1293.5625,1015.460977139816
578,27,78,17,1551.9411764705883,1664.8719954536068
579,27,3,11,1944.3636363636363,1566.4212409604997
580,27,38,9,1362.5555555555557,960.964805820011
581,27,122,12,2119.0,1364.0492415354122
582,27,87,7,1631.4285714285713,567.1424253326892
583,27,2,9,1052.2222222222222,696.7608832268511
584,27,57,13,1422.2307692307693,1104.369096177413
585,27,88,17,1195.8823529411766,1016.0415625098242
586,27,36,6,2784.3333333333335,3609.9746382611734
587,27,18,8,1951.625,975.4498881926227
