,Sheep,Image,Lacunarity
763,35,3,0.13449780562705185
764,35,109,0.07701049289392164
765,35,85,0.09083962414146911
766,35,4,0.11057693200107914
767,36,73,0.0887084167687188
768,36,3,0.07030188867734505
769,36,32,0.07695764275065502
770,36,60,0.1113517922233634
771,36,74,0.09854527380340514
772,36,104,0.05980360755053426
773,36,59,0.06009383617173302
774,36,87,0.09699517489118918
775,36,102,0.08307079984099201
776,36,116,0.06096930129292681
777,36,1,0.0699278563259933
778,36,118,0.07717632585176781
779,36,5,0.07074613359225396
780,36,19,0.08901422546564254
781,36,72,0.12395088101312414
782,36,4,0.07770071522005488
783,36,86,0.08762678788001768
784,36,103,0.12223149295885401
785,36,47,0.09411977360421825
786,36,34,0.08000201677644925
787,36,131,0.11271020553312291
788,36,31,0.1403241046491073
789,36,33,0.10064523590462798
790,36,2,0.12583792878743985
791,36,18,0.0904995125227832
792,36,20,0.06822068844059724
793,36,75,0.07621044681469803
794,36,71,0.1083223091320616
795,36,88,0.08542763843624099
796,36,101,0.09476388783072405
797,36,132,0.12842871763868596
798,36,46,0.10761014791334801
799,36,130,0.10875563324549037
800,36,17,0.08646717607086228
801,36,115,0.06251647204517599
802,36,1,0.08261644295558192
803,36,2,0.07413933150651428
804,36,45,0.07972772586047455
805,36,58,0.09636789972306455
806,37,2,0.12845218178830603
807,37,1,0.2113863160076031
808,37,16,0.07569890730154458
809,37,28,0.09311153133934473
810,37,15,0.074590714828071
811,37,38,0.10408248296140835
812,37,63,0.07746032915635356
813,37,89,0.074957723294795
814,37,62,0.07369400674783033
815,37,51,0.07263588800104737
816,37,76,0.08707787844080539
817,37,39,0.06302997000651564
818,37,116,0.09491465588147906
819,37,14,0.06627602247599076
820,37,75,0.0823815723039941
821,37,61,0.07785131700585135
822,37,40,0.05701940772111992
823,37,113,0.0806262192505857
824,37,88,0.06736256711060204
825,37,114,0.0652987801203854
826,37,3,0.12290869065395293
827,37,74,0.08161751979351585
828,37,77,0.05739659703832354
829,37,90,0.07405414299363076
830,38,71,0.18653301591233762
831,38,87,0.19233299460321257
832,38,45,0.1661345794446961
833,38,99,0.1421000010173646
834,38,130,0.1396187597965475
835,38,14,0.13277541971043058
836,38,58,0.15799096346809233
837,38,59,0.1455244442088546
838,38,86,0.18280943488927026
839,38,102,0.15602300653599588
840,38,100,0.17217021102730928
841,38,101,0.12295608869710271
842,38,117,0.1536309523648216
843,38,115,0.15708117855015144
844,38,31,0.17114872503632864
845,38,88,0.14552794651394924
846,38,15,0.0724750494696723
847,38,28,0.1836455714854365
848,38,2,0.17783783756241356
849,38,103,0.15289768087423772
850,38,116,0.17235109434097184
851,38,114,0.17790205615824564
852,38,29,0.16581117411880203
853,38,30,0.1537642512780845
854,38,57,0.153657563591612
855,38,27,0.17649474096695722
856,38,70,0.12949139319260114
857,38,56,0.15785095736181373
858,38,85,0.1771593836075535
859,38,118,0.17927547219442808
860,38,42,0.15886844745071893
861,39,92,0.05860760199558884
862,39,55,0.05306433699980379
863,39,53,0.06468213066975327
864,39,52,0.04442031954253231
865,39,68,0.0790816455935997
866,39,54,0.0727124405236281
867,39,81,0.0702106309887575
868,39,30,0.08176679912603131
869,39,31,0.11932394375707339
870,39,91,0.05479330114687267
871,39,1,0.1079733894245309
872,39,80,0.08002444053102407
873,39,4,0.07931022897771946
874,39,2,0.07146269024544596
875,39,3,0.07307926585524176
876,40,23,0.10262955527049857
877,40,36,0.1123317340862198
878,40,104,0.11810679960646249
879,40,105,0.10460557944485105
880,40,48,0.10114889700369452
881,40,2,0.10905586175333826
882,40,35,0.11434453118951193
883,40,1,0.11449894989588154
884,40,64,0.07981062881233303
885,40,65,0.11908744464712634
886,40,92,0.11065978022494599
887,40,50,0.11923507313913456
888,40,118,0.08589929736944263
889,40,78,0.11250700018081089
890,40,117,0.08524866474666931
891,40,12,0.11022419270687685
892,40,51,0.1202561258104024
893,40,63,0.0891005544600389
894,40,116,0.10458498959825689
895,40,91,0.10163323789612824
896,40,62,0.10322593333280689
897,40,90,0.12969412124909072
898,40,119,0.10874881138598382
899,41,67,0.13212095758533823
900,41,10,0.1315963125391883
901,41,30,0.11855162320890326
902,41,19,0.14796683796552088
903,41,133,0.1158710019783155
904,41,181,0.11280674349024125
905,41,215,0.11771030339767459
906,41,216,0.09474910435912168
907,41,66,0.14744780403061264
908,41,95,0.14726679014711302
909,41,68,0.15368048994214523
910,41,125,0.1198027394108168
911,41,201,0.09116174508478056
912,41,53,0.11289361934788575
913,41,54,0.1519186256289243
914,41,116,0.12804090858774214
915,41,11,0.13580145007892386
916,41,142,0.09625794774185764
917,41,155,0.08572346575679095
918,41,171,0.11283969132123675
919,41,20,0.12000217662232317
920,41,80,0.14753473740700349
921,41,124,0.12312038069890653
922,41,126,0.12079080771759564
923,41,81,0.16346071623496777
924,41,1,0.1152238574828321
925,41,134,0.08242814333841297
926,41,96,0.1600542793918976
927,41,69,0.12145250578011457
928,41,157,0.07711086835821383
